seismeLabel,lieuLabel,paysLabel,date,nombreMorts,nombreBlesse,description
tremblement de terre d'Ishikawa en 2023,Suzu,Japon,2023-05-05T00:00:00Z,1,35,"tremblement de terre du 5 mai 2023 au Japon, de magnitude 6,3"
Séisme en Afghanistan en juin 2022,Paktiyâ,Pakistan,2022-06-22T00:00:00Z,1543,1543,séisme meurtrier en Afghanistan et au Pakistan le 22 juin 2022
séisme de 2011 dans la province de Van,Van,Azerbaïdjan,2011-10-23T00:00:00Z,604,100,séisme
Séisme en Afghanistan en juin 2022,Q1172701,Afghanistan,2022-06-22T00:00:00Z,1543,1543,séisme meurtrier en Afghanistan et au Pakistan le 22 juin 2022
Séisme en Afghanistan en juin 2022,Q1650508,Afghanistan,2022-06-22T00:00:00Z,1543,1543,séisme meurtrier en Afghanistan et au Pakistan le 22 juin 2022
Séisme en Afghanistan en juin 2022,Q2216027,Afghanistan,2022-06-22T00:00:00Z,1543,1543,séisme meurtrier en Afghanistan et au Pakistan le 22 juin 2022
Séisme en Afghanistan en juin 2022,Q5224216,Afghanistan,2022-06-22T00:00:00Z,1543,1543,séisme meurtrier en Afghanistan et au Pakistan le 22 juin 2022
séisme de 2011 dans la province de Van,Van,Azerbaïdjan,2011-10-23T00:00:00Z,604,4152,séisme
Séisme en Afghanistan en juin 2022,Paktiyâ,Pakistan,2022-06-22T00:00:00Z,2025,1543,séisme meurtrier en Afghanistan et au Pakistan le 22 juin 2022
Séisme en Afghanistan en juin 2022,Q1172701,Afghanistan,2022-06-22T00:00:00Z,2025,1543,séisme meurtrier en Afghanistan et au Pakistan le 22 juin 2022
Séisme en Afghanistan en juin 2022,Q1650508,Afghanistan,2022-06-22T00:00:00Z,2025,1543,séisme meurtrier en Afghanistan et au Pakistan le 22 juin 2022
Séisme en Afghanistan en juin 2022,Q2216027,Afghanistan,2022-06-22T00:00:00Z,2025,1543,séisme meurtrier en Afghanistan et au Pakistan le 22 juin 2022
Séisme en Afghanistan en juin 2022,Q5224216,Afghanistan,2022-06-22T00:00:00Z,2025,1543,séisme meurtrier en Afghanistan et au Pakistan le 22 juin 2022
séisme de 1909 en Provence,Provence,France,1909-06-11T00:00:00Z,46,250,séisme de 1909 en France
séisme de 2023 au Maroc,Al Haouz,Maroc,2023-09-08T00:00:00Z,2946,5674,séisme de magnitude 7 au Maroc
Séisme de 2018 à Hokkaidō,sous-préfecture d'Iburi,Japon,2018-09-06T00:00:00Z,37,120,séisme au Japon en 2018
Séisme de 2018 à Hokkaidō,sous-préfecture d'Iburi,Japon,2018-09-06T00:00:00Z,43,120,séisme au Japon en 2018
Séisme de 2018 à Hokkaidō,sous-préfecture d'Iburi,Japon,2018-09-06T00:00:00Z,37,782,séisme au Japon en 2018
Séisme de 2018 à Hokkaidō,sous-préfecture d'Iburi,Japon,2018-09-06T00:00:00Z,43,782,séisme au Japon en 2018
Séisme en Afghanistan en juin 2022,Khôst,Afghanistan,2022-06-22T00:00:00Z,1543,1543,séisme meurtrier en Afghanistan et au Pakistan le 22 juin 2022
Séisme de 2021 en Haïti,péninsule de Tiburon,Haïti,2021-08-14T00:00:00Z,2207,12268,séisme survenu le 14 août 2021 à Haïti
Séisme en Afghanistan en juin 2022,Khôst,Afghanistan,2022-06-22T00:00:00Z,2025,1543,séisme meurtrier en Afghanistan et au Pakistan le 22 juin 2022
Séisme en Afghanistan en juin 2022,Khyber Pakhtunkhwa,Afghanistan,2022-06-22T00:00:00Z,1543,1543,séisme meurtrier en Afghanistan et au Pakistan le 22 juin 2022
séisme du 16 septembre 2015 au Chili,Illapel,Chili,2015-09-16T00:00:00Z,14,11,"séisme de magnitude 8,3 au centre du Chili en 2015"
Séisme en Afghanistan en juin 2022,Khyber Pakhtunkhwa,Afghanistan,2022-06-22T00:00:00Z,2025,1543,séisme meurtrier en Afghanistan et au Pakistan le 22 juin 2022
séisme de 2016 à Taïwan,Kaohsiung,Taïwan,2016-02-06T00:00:00Z,117,551,séisme qui frappe la partie sud de l'île de Taïwan
Séisme de 2021 en Haïti,Sud,Haïti,2021-08-14T00:00:00Z,2207,12268,séisme survenu le 14 août 2021 à Haïti
séisme de 2011 dans la province de Van,Van,Arménie,2011-10-23T00:00:00Z,10,100,séisme
séisme de 2011 dans la province de Van,Van,Arménie,2011-10-23T00:00:00Z,10,4152,séisme
séisme de 2011 dans la province de Van,Van,Arménie,2011-10-23T00:00:00Z,604,100,séisme
séisme de 2011 dans la province de Van,Van,Arménie,2011-10-23T00:00:00Z,604,4152,séisme
séisme de 2015 au Népal,YR,Bangladesh,2015-04-25T00:00:00Z,8964,21952,série de séismes en 2015 en Asie du Sud
Séisme de 2013 dans le Sichuan,Ya'an,république populaire de Chine,2013-04-20T00:00:00Z,193,15554,"séisme survenu en 2013 dans le Sichuan, en Chine"
Séisme de 2018 à Hokkaidō,Tomakomai,Japon,2018-09-06T00:00:00Z,37,120,séisme au Japon en 2018
Séisme de 2018 à Hokkaidō,Tomakomai,Japon,2018-09-06T00:00:00Z,43,120,séisme au Japon en 2018
Séisme de 2018 à Hokkaidō,Tomakomai,Japon,2018-09-06T00:00:00Z,37,782,séisme au Japon en 2018
Séisme de 2018 à Hokkaidō,Tomakomai,Japon,2018-09-06T00:00:00Z,43,782,séisme au Japon en 2018
Séisme de 2018 en Haïti,Port-de-Paix,Haïti,2018-10-06T00:00:00Z,18,548,séisme haïtien
séisme de 2020 à Petrinja,Sisak-Moslavina,Croatie,2020-12-29T00:00:00Z,7,26,tremblement de terre en Croatie en décembre 2020
Séisme en Afghanistan en juin 2022,Nangarhâr,Pakistan,2022-06-22T00:00:00Z,1543,1543,séisme meurtrier en Afghanistan et au Pakistan le 22 juin 2022
Séisme en Afghanistan en juin 2022,Nangarhâr,Pakistan,2022-06-22T00:00:00Z,2025,1543,séisme meurtrier en Afghanistan et au Pakistan le 22 juin 2022
séisme de 2005 au Cachemire,Azad Cachemire,Inde,2005-10-08T00:00:00Z,73338,106000,séisme de 2005 en Asie du Sud
Séisme de 2008 à Iwate et au Miyagi,préfecture de Miyagi,Japon,2008-06-14T00:00:00Z,17,426,séisme au Japon
séisme de 2011 dans la province de Van,Van,Turquie,2011-10-23T00:00:00Z,10,100,séisme
séisme de 2011 dans la province de Van,Van,Turquie,2011-10-23T00:00:00Z,10,4152,séisme
séisme de 2011 dans la province de Van,Van,Turquie,2011-10-23T00:00:00Z,604,100,séisme
séisme de 2011 dans la province de Van,Van,Turquie,2011-10-23T00:00:00Z,604,4152,séisme
séisme de 2016 en Ombrie et dans les Marches,Accumoli,Italie,2016-08-24T00:00:00Z,299,388,"séisme de magnitude 6,1 ou 6,2 en août 2016"
séisme de Loma Prieta,Californie,États-Unis,1989-10-17T00:00:00Z,63,3757,séisme majeur du nord de la Californie
2015 maroc,Al Hoceïma,Maroc,2004-02-24T00:00:00Z,628,926,séisme au Maroc en 2004
Séisme en Afghanistan en juin 2022,Q1172701,Pakistan,2022-06-22T00:00:00Z,1543,1543,séisme meurtrier en Afghanistan et au Pakistan le 22 juin 2022
Séisme en Afghanistan en juin 2022,Q1650508,Pakistan,2022-06-22T00:00:00Z,1543,1543,séisme meurtrier en Afghanistan et au Pakistan le 22 juin 2022
Séisme en Afghanistan en juin 2022,Q2216027,Pakistan,2022-06-22T00:00:00Z,1543,1543,séisme meurtrier en Afghanistan et au Pakistan le 22 juin 2022
Séisme en Afghanistan en juin 2022,Q5224216,Pakistan,2022-06-22T00:00:00Z,1543,1543,séisme meurtrier en Afghanistan et au Pakistan le 22 juin 2022
Séisme en Afghanistan en juin 2022,Q1172701,Pakistan,2022-06-22T00:00:00Z,2025,1543,séisme meurtrier en Afghanistan et au Pakistan le 22 juin 2022
Séisme en Afghanistan en juin 2022,Q1650508,Pakistan,2022-06-22T00:00:00Z,2025,1543,séisme meurtrier en Afghanistan et au Pakistan le 22 juin 2022
Séisme en Afghanistan en juin 2022,Q2216027,Pakistan,2022-06-22T00:00:00Z,2025,1543,séisme meurtrier en Afghanistan et au Pakistan le 22 juin 2022
Séisme en Afghanistan en juin 2022,Q5224216,Pakistan,2022-06-22T00:00:00Z,2025,1543,séisme meurtrier en Afghanistan et au Pakistan le 22 juin 2022
Séisme de 2010 à Haïti,Port-au-Prince,Haïti,2010-01-12T00:00:00Z,230000,250000,tremblement de terre très meurtrier survenu le 12 janvier 2010 à Haïti
Séisme en Afghanistan en juin 2022,Khôst,Pakistan,2022-06-22T00:00:00Z,1543,1543,séisme meurtrier en Afghanistan et au Pakistan le 22 juin 2022
Séisme en Afghanistan en juin 2022,Khôst,Pakistan,2022-06-22T00:00:00Z,2025,1543,séisme meurtrier en Afghanistan et au Pakistan le 22 juin 2022
Séisme en Afghanistan en juin 2022,Khyber Pakhtunkhwa,Pakistan,2022-06-22T00:00:00Z,1543,1543,séisme meurtrier en Afghanistan et au Pakistan le 22 juin 2022
Séisme en Afghanistan en juin 2022,Khyber Pakhtunkhwa,Pakistan,2022-06-22T00:00:00Z,2025,1543,séisme meurtrier en Afghanistan et au Pakistan le 22 juin 2022
séisme de 2019 en Albanie,Lezhë,Albanie,2019-11-26T00:00:00Z,51,3000,séisme du 26 novembre 2019
séisme de 2016 en Ombrie et dans les Marches,Ombrie,Italie,2016-08-24T00:00:00Z,299,388,"séisme de magnitude 6,1 ou 6,2 en août 2016"
séisme de 2005 au Cachemire,Azad Cachemire,Afghanistan,2005-10-08T00:00:00Z,73338,106000,séisme de 2005 en Asie du Sud
séisme de 1995 de Kōbe,Kobe,Japon,1995-01-17T00:00:00Z,5502,43792,séisme japonais
séisme de 1995 de Kōbe,Kobe,Japon,1995-01-17T00:00:00Z,6434,43792,séisme japonais
séisme de 1995 de Kōbe,Kobe,Japon,1995-01-17T00:00:00Z,6437,43792,séisme japonais
séisme du 28 septembre 2018 à Célèbes,Sulawesi central,Indonésie,2018-09-28T00:00:00Z,4402,2549,séisme survenu en Indonésie le 28 septembre 2018
séisme de 2005 au Cachemire,Cachemire,Inde,2005-10-08T00:00:00Z,73338,106000,séisme de 2005 en Asie du Sud
séisme de 2011 dans la province de Van,Van,Iran,2011-10-23T00:00:00Z,10,100,séisme
séisme de 2011 dans la province de Van,Van,Iran,2011-10-23T00:00:00Z,10,4152,séisme
séisme de 2011 dans la province de Van,Van,Iran,2011-10-23T00:00:00Z,604,100,séisme
séisme de 2011 dans la province de Van,Van,Iran,2011-10-23T00:00:00Z,604,4152,séisme
séisme de 2017 à Kermanshah,plaque arabique,Iran,2017-11-12T00:00:00Z,474,9388,séisme en Iran
Séisme en Afghanistan en juin 2022,Waziristan du Nord,Afghanistan,2022-06-22T00:00:00Z,1543,1543,séisme meurtrier en Afghanistan et au Pakistan le 22 juin 2022
Séisme en Afghanistan en juin 2022,Waziristan du Nord,Afghanistan,2022-06-22T00:00:00Z,2025,1543,séisme meurtrier en Afghanistan et au Pakistan le 22 juin 2022
Séisme de 2018 en Haïti,arrondissement de Port-de-Paix,Haïti,2018-10-06T00:00:00Z,18,548,séisme haïtien
séisme de 2016 en Ombrie et dans les Marches,Abruzzes,Italie,2016-08-24T00:00:00Z,299,388,"séisme de magnitude 6,1 ou 6,2 en août 2016"
séisme de 1995 de Kōbe,préfecture de Hyōgo,Japon,1995-01-17T00:00:00Z,5502,43792,séisme japonais
séisme de 1995 de Kōbe,préfecture de Hyōgo,Japon,1995-01-17T00:00:00Z,6434,43792,séisme japonais
séisme de 1995 de Kōbe,préfecture de Hyōgo,Japon,1995-01-17T00:00:00Z,6437,43792,séisme japonais
séisme de 2015 au Népal,YR,Inde,2015-04-25T00:00:00Z,8964,21952,série de séismes en 2015 en Asie du Sud
séisme de 2005 au Cachemire,Cachemire,Afghanistan,2005-10-08T00:00:00Z,73338,106000,séisme de 2005 en Asie du Sud
séisme de 2016 en Ombrie et dans les Marches,Latium,Italie,2016-08-24T00:00:00Z,299,388,"séisme de magnitude 6,1 ou 6,2 en août 2016"
Séisme en Afghanistan en juin 2022,Waziristan du Sud,Afghanistan,2022-06-22T00:00:00Z,1543,1543,séisme meurtrier en Afghanistan et au Pakistan le 22 juin 2022
Séisme en Afghanistan en juin 2022,Waziristan du Sud,Afghanistan,2022-06-22T00:00:00Z,2025,1543,séisme meurtrier en Afghanistan et au Pakistan le 22 juin 2022
tremblement de terre de Luçon,Abra,Philippines,2022-07-27T00:00:00Z,10,410,tremblement de terre aux Philippines en 2022
tremblement de terre de Luçon,Abra,Philippines,2022-07-27T00:00:00Z,10,136,tremblement de terre aux Philippines en 2022
tremblement de terre de Luçon,Abra,Philippines,2022-07-27T00:00:00Z,6,410,tremblement de terre aux Philippines en 2022
tremblement de terre de Luçon,Abra,Philippines,2022-07-27T00:00:00Z,6,136,tremblement de terre aux Philippines en 2022
tremblement de terre de Luçon,Abra,Philippines,2022-07-27T00:00:00Z,11,410,tremblement de terre aux Philippines en 2022
tremblement de terre de Luçon,Abra,Philippines,2022-07-27T00:00:00Z,10,375,tremblement de terre aux Philippines en 2022
tremblement de terre de Luçon,Abra,Philippines,2022-07-27T00:00:00Z,11,136,tremblement de terre aux Philippines en 2022
tremblement de terre de Luçon,Abra,Philippines,2022-07-27T00:00:00Z,6,375,tremblement de terre aux Philippines en 2022
tremblement de terre de Luçon,Abra,Philippines,2022-07-27T00:00:00Z,11,375,tremblement de terre aux Philippines en 2022
séisme de 1976 à Tangshan,Hebei,république populaire de Chine,1976-07-28T00:00:00Z,242769,164851,catastrophe naturelle
Séisme de 2017 au Sichuan,Xian de Jiuzhaigou,république populaire de Chine,2017-08-08T00:00:00Z,5,63,séisme en Chine
séisme de 1906 à San Francisco,Californie,États-Unis,1906-04-18T00:00:00Z,3000,0,séisme américain
Séisme en Afghanistan en juin 2022,Paktiyâ,Afghanistan,2022-06-22T00:00:00Z,1543,1543,séisme meurtrier en Afghanistan et au Pakistan le 22 juin 2022
Séisme en Afghanistan en juin 2022,Paktiyâ,Afghanistan,2022-06-22T00:00:00Z,2025,1543,séisme meurtrier en Afghanistan et au Pakistan le 22 juin 2022
Séisme du 29 juillet 2018 à Lombok,Lombok,Indonésie,2018-07-29T00:00:00Z,16,335,séisme de 2018 sur l'île indonésienne de Lombok
séisme du 28 septembre 2018 à Célèbes,Donggala,Indonésie,2018-09-28T00:00:00Z,4402,2549,séisme survenu en Indonésie le 28 septembre 2018
séisme de 2005 au Cachemire,Azad Cachemire,Pakistan,2005-10-08T00:00:00Z,73338,106000,séisme de 2005 en Asie du Sud
séisme de 2023 au Maroc,Marrakech-Safi,Maroc,2023-09-08T00:00:00Z,2946,5674,séisme de magnitude 7 au Maroc
séisme de 1906 à San Francisco,San Francisco,États-Unis,1906-04-18T00:00:00Z,3000,0,séisme américain
séisme de 1976 à Tangshan,Tangshan,république populaire de Chine,1976-07-28T00:00:00Z,242769,164851,catastrophe naturelle
Séisme en Afghanistan en juin 2022,Waziristan du Nord,Pakistan,2022-06-22T00:00:00Z,1543,1543,séisme meurtrier en Afghanistan et au Pakistan le 22 juin 2022
Séisme en Afghanistan en juin 2022,Waziristan du Nord,Pakistan,2022-06-22T00:00:00Z,2025,1543,séisme meurtrier en Afghanistan et au Pakistan le 22 juin 2022
séisme de 2015 au Népal,YR,Népal,2015-04-25T00:00:00Z,8964,21952,série de séismes en 2015 en Asie du Sud
séisme de 2020 en mer Égée,mer Égée,Turquie,2020-10-30T00:00:00Z,116,1035,séisme du 30 octobre 2020
séisme de 2008 au Sichuan,Sichuan,république populaire de Chine,2008-05-12T00:00:00Z,69195,375000,séisme en Chine
Séisme de 2008 à Iwate et au Miyagi,Préfecture d'Iwate,Japon,2008-06-14T00:00:00Z,17,426,séisme au Japon
Séisme de 2018 à Osaka,Takatsuki,Japon,2018-06-18T00:00:00Z,4,307,séisme au Japon
Séisme de 2018 à Osaka,Takatsuki,Japon,2018-06-18T00:00:00Z,6,307,séisme au Japon
Séisme de 2018 à Osaka,Takatsuki,Japon,2018-06-18T00:00:00Z,4,462,séisme au Japon
Séisme de 2018 à Osaka,Takatsuki,Japon,2018-06-18T00:00:00Z,6,462,séisme au Japon
séisme de 2017 à Kermanshah,Ozgoleh,Iran,2017-11-12T00:00:00Z,474,9388,séisme en Iran
Séisme en Afghanistan en juin 2022,Nangarhâr,Afghanistan,2022-06-22T00:00:00Z,1543,1543,séisme meurtrier en Afghanistan et au Pakistan le 22 juin 2022
séisme de 2022 à Java occidental,kabupaten de Cianjur,Indonésie,2022-11-21T00:00:00Z,310,2046,séisme en Indonésie
Séisme en Afghanistan en juin 2022,Nangarhâr,Afghanistan,2022-06-22T00:00:00Z,2025,1543,séisme meurtrier en Afghanistan et au Pakistan le 22 juin 2022
séisme de 1960 d'Agadir,Agadir,Maroc,1960-02-29T00:00:00Z,12000,25000,séisme au Maroc en 1960
tremblement de terre d'Ishikawa en 2023,mer du Japon,Japon,2023-05-05T00:00:00Z,1,35,"tremblement de terre du 5 mai 2023 au Japon, de magnitude 6,3"
séisme de 2005 à Fukuoka,préfecture de Fukuoka,Japon,2005-03-20T00:00:00Z,1,1204,séisme
séisme de 2005 au Cachemire,Cachemire,Pakistan,2005-10-08T00:00:00Z,73338,106000,séisme de 2005 en Asie du Sud
Séisme de 2021 en Haïti,Nippes,Haïti,2021-08-14T00:00:00Z,2207,12268,séisme survenu le 14 août 2021 à Haïti
Séisme en Afghanistan en juin 2022,Waziristan du Sud,Pakistan,2022-06-22T00:00:00Z,1543,1543,séisme meurtrier en Afghanistan et au Pakistan le 22 juin 2022
Séisme en Afghanistan en juin 2022,Waziristan du Sud,Pakistan,2022-06-22T00:00:00Z,2025,1543,séisme meurtrier en Afghanistan et au Pakistan le 22 juin 2022
Séisme d'Elâzığ de 2020,Elâzığ,Turquie,2020-01-24T00:00:00Z,41,1607,séisme qui touche l'est de la Turquie en 2020
séisme de 2016 en Ombrie et dans les Marches,Marches,Italie,2016-08-24T00:00:00Z,299,388,"séisme de magnitude 6,1 ou 6,2 en août 2016"
Séisme de 2021 en Haïti,Grand'Anse,Haïti,2021-08-14T00:00:00Z,2207,12268,séisme survenu le 14 août 2021 à Haïti
Séisme de 2016 en Équateur,Pedernales,Équateur,2016-04-16T00:00:00Z,442,2000,séisme en Équateur
séisme de 2017 à Kermanshah,Halabja,Iran,2017-11-12T00:00:00Z,474,9388,séisme en Iran
séisme de 2005 à Fukuoka,Mer de Genkai,Japon,2005-03-20T00:00:00Z,1,1204,séisme
séisme de 2017 dans l'État de Puebla,Puebla,Mexique,2017-09-19T00:00:00Z,369,2633,"séisme de magnitude 7,1"
séisme de 2011 dans la province de Van,Van,Azerbaïdjan,2011-10-23T00:00:00Z,10,100,séisme
séisme de 2011 dans la province de Van,Van,Azerbaïdjan,2011-10-23T00:00:00Z,10,4152,séisme
